year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
2010,18.1,15.5,10,2.7,1.7,0,0,0,0,2.1,9.8,23.7,49,14.3,0,11.9,83.5
2011,13.4,3,7.4,0.2,0.5,0,0,0,0,0.3,0.9,5.5,40,8.1,0,1.2,31.2
2012,8.9,13.2,2.5,4.5,0.7,0,0,0,0.1,1.3,4.9,10.2,27.7,7.7,0,6.2,46.2
2013,14.4,14,18,8,0.6,0,0,0,0,0,5.4,2.9,38.5,26.7,0,5.4,63.3
2014,4.7,1.7,4.5,0.7,0.4,0,0,0,0,0.1,2.3,10.8,9.2,5.7,0,2.3,25
2015,11.4,10.8,5.1,1.9,0.4,0,0,0,0,0,2.4,0.6,33,7.5,0,2.5,32.8
2016,7.9,10.8,6.7,4.8,0.5,0,0,0,0,0,6.3,7.1,19.2,12,0,6.3,44
2017,14.7,4,1.2,2.4,0.2,0,0,0,0,0.3,5.6,11.5,25.7,3.8,0,5.9,39.9
2018,6.3,15.6,10.6,0.6,0.4,0,0,0,0,2.6,2.3,3.9,33.4,11.5,0,4.9,42.1
2019,13.3,7.1,1.5,4.5,0.5,0,0,0,0,0.8,4.8,6,24.4,6.5,0,5.6,38.6
2020,3.9,3.4,5.8,1.5,1.5,0,0,0,0,0.1,2.7,8.3,13.4,8.8,0,2.8,27.2
2021,16.7,10.5,4,12.9,1.8,0,0,0,0,0.1,4.7,4.7,35.5,18.7,0,4.8,55.6
2022,12.1,2.7,3.8,5.2,0,0,0,0,0,0,0.7,12.9,19.6,9,0,0.8,37.5
